排名,國家/地區,人口[註 3],統計截至日期,佔世界比,"折叠
來源"
,世界,"8,208,493,000",2025年07月2日,100.00%,美國人口普查局-世界人口時鐘 （页面存档备份，存于互联网档案馆）
1,印度,"1,441,760,000",2025年7月1日,17.56%,官方人口時鐘（页面存档备份，存于互联网档案馆）
2,中华人民共和国,"1,408,280,000",2025年1月1日,17.16%,官方年度統計 （页面存档备份，存于互联网档案馆）
3,美国,"342,040,000",2025年7月1日,4.17%,官方人口時鐘 （页面存档备份，存于互联网档案馆）
4,印度尼西亞,"281,600,000",2024年7月1日,3.43%,官方月度統計 （页面存档备份，存于互联网档案馆）
5,巴基斯坦[註 4],"241,500,000",2023年3月1日,2.94%,官方人口普查 （页面存档备份，存于互联网档案馆）
6,奈及利亞,"230,840,000",2023年6月1日,2.81%,官方人口普查 （页面存档备份，存于互联网档案馆）
7,巴西,"203,060,000",2022年8月1日,2.47%,官方人口普查 （页面存档备份，存于互联网档案馆）
8,孟加拉国,"169,830,000",2022年6月14日,2.07%,官方人口普查 （页面存档备份，存于互联网档案馆）
9,俄羅斯[註 5],"146,030,000",2025年1月1日,1.78%,官方年度統計 （页面存档备份，存于互联网档案馆）
10,墨西哥,"130,420,000",2025年4月1日,1.59%,官方季度統計 （页面存档备份，存于互联网档案馆）
11,日本,"123,340,000",2025年5月1日,1.5%,官方月度統計 （页面存档备份，存于互联网档案馆）
12,菲律賓,"114,120,000",2025年1月1日,1.39%,官方人口預測 （页面存档备份，存于互联网档案馆）
13,衣索比亞,"109,500,000",2024年7月1日,1.33%,聯合國預測（页面存档备份，存于互联网档案馆）
14,刚果民主共和国,"109,280,000",2024年7月1日,1.33%,世界人口資料 （页面存档备份，存于互联网档案馆）
15,埃及,"107,800,000",2025年7月1日,1.31%,官方人口時鐘 （页面存档备份，存于互联网档案馆）
16,越南,"101,340,000",2025年1月1日,1.23%,官方年度統計 （页面存档备份，存于互联网档案馆）
17,伊朗,"85,961,000",2024年3月20日,1.05%,官方年度統計 （页面存档备份，存于互联网档案馆）
18,土耳其,"85,665,000",2025年1月1日,1.04%,官方年度統計 （页面存档备份，存于互联网档案馆）
19,德国,"83,577,000",2025年1月1日,1.02%,官方季度統計 （页面存档备份，存于互联网档案馆）
20,法國[註 6],"68,649,000",2025年6月1日,0.84%,官方月度統計 （页面存档备份，存于互联网档案馆）
21,英国[註 7],"68,265,000",2023年7月1日,0.83%,官方年度統計 （页面存档备份，存于互联网档案馆）
22,泰國,"64,883,000",2025年6月1日,0.79%,官方月度統計 （页面存档备份，存于互联网档案馆）
23,南非,"63,016,000",2024年7月30日,0.77%,官方人口普查 （页面存档备份，存于互联网档案馆）
24,坦桑尼亚,"61,741,000",2022年8月23日,0.75%,官方人口普查 （页面存档备份，存于互联网档案馆）
25,義大利,"58,922,000",2025年4月1日,0.72%,官方月度統計 （页面存档备份，存于互联网档案馆）
26,哥伦比亚,"52,696,000",2024年1月1日,0.64%,官方人口預測 （页面存档备份，存于互联网档案馆）
27,肯尼亚,"52,428,000",2024年1月1日,0.64%,官方人口普查（页面存档备份，存于互联网档案馆）
28,緬甸,"51,317,000",2024年10月15日,0.63%,官方人口預測 （页面存档备份，存于互联网档案馆）
29,韩国,"51,164,000",2025年7月1日,0.62%,官方月度統計 （页面存档备份，存于互联网档案馆）
30,苏丹,"50,449,000",2024年7月1日,0.61%,聯合國預測 （页面存档备份，存于互联网档案馆）
31,西班牙[註 8],"49,078,000",2025年1月1日,0.6%,官方季度統計（页面存档备份，存于互联网档案馆）
32,阿尔及利亚,"47,400,000",2025年1月1日,0.58%,官方人口預測 （页面存档备份，存于互联网档案馆）
33,阿根廷,"47,068,000",2024年7月1日,0.57%,官方人口普查（页面存档备份，存于互联网档案馆）
34,乌干达,"45,905,000",2024年5月10日,0.56%,官方人口預測 （页面存档备份，存于互联网档案馆）
35,伊拉克,"44,418,000",2024年7月1日,0.53%,官方人口預測（页面存档备份，存于互联网档案馆）
